time,id_probabilities1,id_probabilities2,id_probabilities3
76.320,1.000e+00,1.000e+00,1.000e+00
76.360,1.000e+00,1.000e+00,1.000e+00
76.400,0.000e+00,1.000e+00,1.000e+00
76.440,1.000e+00,1.000e+00,1.000e+00
76.480,1.000e+00,1.000e+00,1.000e+00
76.520,1.000e+00,1.000e+00,1.000e+00
76.560,1.000e+00,1.000e+00,1.000e+00
76.600,1.000e+00,1.000e+00,1.000e+00
76.640,1.000e+00,1.000e+00,1.000e+00
76.680,1.000e+00,1.000e+00,1.000e+00
76.720,1.000e+00,1.000e+00,1.000e+00
76.760,1.000e+00,1.000e+00,1.000e+00
76.800,1.000e+00,1.000e+00,1.000e+00
76.840,1.000e+00,1.000e+00,1.000e+00
76.880,1.000e+00,1.000e+00,1.000e+00
76.920,1.000e+00,1.000e+00,1.000e+00
76.960,1.000e+00,1.000e+00,1.000e+00
77.000,1.000e+00,1.000e+00,1.000e+00
77.040,1.000e+00,1.000e+00,1.000e+00
77.080,1.000e+00,1.000e+00,1.000e+00
77.120,1.000e+00,1.000e+00,1.000e+00
77.160,1.000e+00,1.000e+00,1.000e+00
77.200,1.000e+00,1.000e+00,1.000e+00
77.240,1.000e+00,1.000e+00,1.000e+00
77.280,1.000e+00,1.000e+00,1.000e+00
77.320,1.000e+00,1.000e+00,1.000e+00
77.360,1.000e+00,1.000e+00,1.000e+00
77.400,1.000e+00,1.000e+00,1.000e+00
77.440,1.000e+00,1.000e+00,1.000e+00
77.480,1.000e+00,1.000e+00,1.000e+00
77.520,1.000e+00,1.000e+00,1.000e+00
77.560,1.000e+00,1.000e+00,1.000e+00
77.600,1.000e+00,1.000e+00,1.000e+00
77.640,1.000e+00,1.000e+00,1.000e+00
77.680,1.000e+00,1.000e+00,1.000e+00
77.720,1.000e+00,1.000e+00,1.000e+00
77.760,1.000e+00,1.000e+00,1.000e+00
77.800,1.000e+00,1.000e+00,1.000e+00
77.840,1.000e+00,1.000e+00,1.000e+00
77.880,1.000e+00,1.000e+00,1.000e+00
77.920,1.000e+00,1.000e+00,1.000e+00
77.960,1.000e+00,1.000e+00,1.000e+00
78.000,1.000e+00,1.000e+00,1.000e+00
78.040,1.000e+00,1.000e+00,1.000e+00
78.080,1.000e+00,1.000e+00,1.000e+00
78.120,1.000e+00,1.000e+00,1.000e+00
78.160,1.000e+00,1.000e+00,1.000e+00
78.200,1.000e+00,1.000e+00,1.000e+00
78.240,1.000e+00,1.000e+00,1.000e+00
78.280,1.000e+00,1.000e+00,1.000e+00
78.320,1.000e+00,1.000e+00,1.000e+00
78.360,1.000e+00,1.000e+00,1.000e+00
78.400,1.000e+00,1.000e+00,1.000e+00
78.440,1.000e+00,1.000e+00,1.000e+00
78.480,1.000e+00,1.000e+00,1.000e+00
78.520,1.000e+00,1.000e+00,1.000e+00
78.560,1.000e+00,1.000e+00,1.000e+00
78.600,1.000e+00,1.000e+00,1.000e+00
78.640,1.000e+00,1.000e+00,1.000e+00
78.680,1.000e+00,1.000e+00,1.000e+00
78.720,1.000e+00,1.000e+00,1.000e+00
78.760,1.000e+00,1.000e+00,1.000e+00
78.800,1.000e+00,1.000e+00,1.000e+00
78.840,1.000e+00,1.000e+00,1.000e+00
78.880,1.000e+00,1.000e+00,1.000e+00
78.920,1.000e+00,1.000e+00,1.000e+00
78.960,1.000e+00,1.000e+00,1.000e+00
79.000,1.000e+00,1.000e+00,1.000e+00
79.040,1.000e+00,1.000e+00,1.000e+00
79.080,1.000e+00,1.000e+00,1.000e+00
79.120,1.000e+00,1.000e+00,1.000e+00
79.160,1.000e+00,1.000e+00,1.000e+00
79.200,1.000e+00,1.000e+00,1.000e+00
79.240,1.000e+00,1.000e+00,1.000e+00
79.280,1.000e+00,1.000e+00,1.000e+00
79.320,1.000e+00,1.000e+00,1.000e+00
79.360,1.000e+00,1.000e+00,1.000e+00
79.400,1.000e+00,1.000e+00,1.000e+00
79.440,1.000e+00,1.000e+00,1.000e+00
79.480,1.000e+00,1.000e+00,1.000e+00
79.520,1.000e+00,1.000e+00,1.000e+00
79.560,1.000e+00,1.000e+00,1.000e+00
79.600,1.000e+00,1.000e+00,1.000e+00
79.640,1.000e+00,1.000e+00,1.000e+00
79.680,1.000e+00,1.000e+00,1.000e+00
79.720,1.000e+00,1.000e+00,1.000e+00
79.760,1.000e+00,1.000e+00,1.000e+00
79.800,1.000e+00,1.000e+00,1.000e+00
79.840,1.000e+00,1.000e+00,1.000e+00
79.880,1.000e+00,1.000e+00,1.000e+00
79.920,1.000e+00,1.000e+00,1.000e+00
79.960,1.000e+00,1.000e+00,1.000e+00
80.000,1.000e+00,1.000e+00,1.000e+00
80.040,1.000e+00,1.000e+00,1.000e+00
80.080,1.000e+00,1.000e+00,1.000e+00
80.120,1.000e+00,1.000e+00,1.000e+00
80.160,1.000e+00,1.000e+00,1.000e+00
80.200,1.000e+00,1.000e+00,1.000e+00
80.240,1.000e+00,1.000e+00,1.000e+00
80.280,1.000e+00,1.000e+00,1.000e+00
80.320,1.000e+00,1.000e+00,1.000e+00
80.360,1.000e+00,1.000e+00,1.000e+00
80.400,1.000e+00,1.000e+00,1.000e+00
80.440,1.000e+00,1.000e+00,1.000e+00
80.480,1.000e+00,1.000e+00,1.000e+00
80.520,1.000e+00,1.000e+00,1.000e+00
80.560,1.000e+00,1.000e+00,1.000e+00
80.600,1.000e+00,1.000e+00,1.000e+00
80.640,1.000e+00,1.000e+00,1.000e+00
80.680,1.000e+00,1.000e+00,1.000e+00
80.720,1.000e+00,1.000e+00,1.000e+00
80.760,1.000e+00,1.000e+00,1.000e+00
80.800,1.000e+00,1.000e+00,1.000e+00
80.840,1.000e+00,1.000e+00,1.000e+00
80.880,1.000e+00,1.000e+00,1.000e+00
80.920,1.000e+00,1.000e+00,1.000e+00
80.960,1.000e+00,1.000e+00,1.000e+00
81.000,1.000e+00,1.000e+00,1.000e+00
81.040,1.000e+00,1.000e+00,1.000e+00
81.080,1.000e+00,1.000e+00,1.000e+00
81.120,1.000e+00,1.000e+00,1.000e+00
81.160,1.000e+00,1.000e+00,1.000e+00
81.200,1.000e+00,1.000e+00,1.000e+00
81.240,1.000e+00,1.000e+00,1.000e+00
81.280,1.000e+00,1.000e+00,1.000e+00
81.320,1.000e+00,1.000e+00,1.000e+00
81.360,1.000e+00,1.000e+00,1.000e+00
81.400,1.000e+00,1.000e+00,1.000e+00
81.440,1.000e+00,1.000e+00,1.000e+00
81.480,1.000e+00,1.000e+00,1.000e+00
81.520,1.000e+00,1.000e+00,1.000e+00
81.560,1.000e+00,1.000e+00,1.000e+00
81.600,1.000e+00,1.000e+00,1.000e+00
81.640,1.000e+00,0.000e+00,1.000e+00
81.680,1.000e+00,0.000e+00,1.000e+00
81.720,1.000e+00,0.000e+00,1.000e+00
81.760,1.000e+00,0.000e+00,1.000e+00
81.800,1.000e+00,0.000e+00,1.000e+00
81.840,1.000e+00,0.000e+00,1.000e+00
81.880,1.000e+00,1.000e+00,1.000e+00
81.920,1.000e+00,1.000e+00,1.000e+00
81.960,1.000e+00,1.000e+00,1.000e+00
82.000,1.000e+00,1.000e+00,1.000e+00
82.040,1.000e+00,1.000e+00,1.000e+00
82.080,1.000e+00,1.000e+00,1.000e+00
82.120,1.000e+00,1.000e+00,1.000e+00
82.160,1.000e+00,1.000e+00,1.000e+00
82.200,1.000e+00,1.000e+00,1.000e+00
82.240,1.000e+00,1.000e+00,1.000e+00
82.280,1.000e+00,1.000e+00,1.000e+00
82.320,1.000e+00,1.000e+00,1.000e+00
82.360,1.000e+00,1.000e+00,1.000e+00
82.400,1.000e+00,1.000e+00,1.000e+00
82.440,1.000e+00,1.000e+00,1.000e+00
82.480,1.000e+00,1.000e+00,1.000e+00
82.520,1.000e+00,1.000e+00,1.000e+00
82.560,1.000e+00,1.000e+00,1.000e+00
82.600,1.000e+00,1.000e+00,1.000e+00
82.640,1.000e+00,1.000e+00,2.046e-01
82.680,1.000e+00,1.000e+00,1.000e+00
82.720,1.000e+00,1.000e+00,1.811e-01
82.760,1.000e+00,1.000e+00,1.000e+00
82.800,1.000e+00,1.000e+00,1.000e+00
82.840,1.000e+00,1.000e+00,1.000e+00
82.880,1.000e+00,1.000e+00,1.000e+00
82.920,1.000e+00,1.000e+00,1.000e+00
82.960,1.000e+00,1.000e+00,1.000e+00
83.000,1.000e+00,1.000e+00,1.000e+00
83.040,1.000e+00,1.000e+00,1.000e+00
83.080,1.000e+00,1.000e+00,1.000e+00
83.120,1.000e+00,1.000e+00,1.000e+00
83.160,1.000e+00,1.000e+00,1.000e+00
83.200,1.000e+00,1.000e+00,1.000e+00
83.240,1.000e+00,1.000e+00,1.000e+00
83.280,1.000e+00,1.000e+00,1.000e+00
83.320,1.000e+00,1.000e+00,1.000e+00
83.360,1.000e+00,1.000e+00,1.000e+00
83.400,1.000e+00,1.000e+00,1.000e+00
83.440,1.000e+00,1.000e+00,1.000e+00
83.480,1.000e+00,1.000e+00,1.000e+00
83.520,1.000e+00,1.000e+00,1.000e+00
83.560,1.000e+00,1.000e+00,1.000e+00
83.600,1.000e+00,1.000e+00,1.000e+00
83.640,1.000e+00,1.000e+00,1.000e+00
83.680,1.000e+00,1.000e+00,1.000e+00
83.720,1.000e+00,1.000e+00,1.000e+00
