time,x1,y1,x2,y2,x3,y3
11.680,1111.448,428.626,995.312,46.690,1050.496,113.388
11.720,1111.632,428.058,996.299,46.679,1052.448,113.898
11.760,1112.551,425.388,998.755,47.016,1059.082,115.698
11.800,1112.988,423.875,1000.374,47.109,1060.438,116.342
11.840,1113.460,422.435,1000.975,47.165,1062.436,116.536
11.880,1113.848,421.394,1000.889,47.007,1065.510,115.300
11.920,1114.677,419.185,1001.862,47.143,1068.947,113.786
11.960,1114.755,418.772,1002.283,47.192,1072.414,111.996
12.000,1115.080,417.700,1003.065,47.259,1073.273,111.548
12.040,1115.941,414.565,1005.775,47.494,1073.770,111.265
12.080,1113.305,411.011,1011.838,47.570,1075.789,109.910
12.120,1111.230,408.080,1015.244,46.904,1076.511,109.413
12.160,1110.146,404.906,1016.931,47.008,1077.270,108.913
12.200,1107.974,399.409,1019.118,46.723,1077.613,108.545
12.240,1107.056,396.980,1018.846,46.688,1078.751,107.669
12.280,1106.638,394.359,1019.228,46.646,1079.447,107.202
12.320,1106.565,393.247,1019.332,46.270,1081.509,105.450
12.360,1106.168,392.163,1019.083,45.947,1082.067,105.135
12.400,1105.622,389.906,1021.195,45.978,1084.496,103.176
12.440,1105.193,388.430,1021.504,45.473,1085.403,102.659
12.480,1104.712,386.611,1020.768,45.230,1086.212,102.102
12.520,1104.259,385.112,1021.646,45.624,1087.212,101.496
12.560,1102.436,383.811,1024.238,46.435,1087.227,101.480
12.600,1098.686,380.657,1024.273,46.436,1087.464,101.303
12.640,1098.208,380.135,1024.945,46.658,1087.493,101.160
12.680,1097.823,379.551,1026.171,47.319,1087.541,101.071
12.720,1097.060,378.997,1027.853,47.861,1079.719,108.471
12.760,1095.786,378.183,1028.727,48.150,1086.000,97.000
12.800,1095.997,378.047,1030.941,48.726,1087.708,86.118
12.840,1095.627,377.491,1030.847,48.834,1087.789,85.097
12.880,1094.961,376.738,1030.936,48.835,1087.086,83.496
12.920,1094.136,375.861,1030.796,48.607,1086.367,80.816
12.960,1093.469,375.142,1030.745,48.911,1085.562,78.838
13.000,1093.727,375.042,1031.148,49.070,1085.323,77.884
13.040,1093.727,375.042,1031.073,49.002,1085.056,77.156
13.080,1093.727,375.042,1031.129,49.187,1084.855,76.393
13.120,1093.733,375.027,1031.439,49.738,1084.311,75.061
13.160,1091.943,371.632,1031.456,50.040,1084.323,74.595
13.200,1090.468,366.630,1031.438,50.208,1084.497,74.050
13.240,1090.065,365.873,1031.465,50.250,1084.385,73.016
13.280,1089.699,364.795,1031.781,50.491,1083.376,71.182
13.320,1088.324,363.188,1032.089,50.942,1082.895,69.518
13.360,1087.669,362.364,1032.630,51.917,1082.507,68.661
13.400,1087.087,361.751,1032.672,52.119,1082.147,67.390
13.440,1086.574,361.249,1033.252,52.500,1081.381,65.193
13.480,1086.499,361.093,1033.435,52.505,1080.984,63.369
13.520,1085.654,360.480,1033.613,52.355,1080.707,62.294
13.560,1085.239,360.191,1033.788,52.446,1079.932,59.243
13.600,1084.529,359.410,1033.811,52.064,1080.074,59.282
13.640,1083.831,358.683,1034.390,51.973,1080.254,58.996
13.680,1080.323,355.881,1034.655,51.942,1079.647,57.564
13.720,1080.248,355.384,1034.655,51.942,1079.518,56.809
13.760,1080.209,355.333,1035.408,52.206,1079.275,55.809
13.800,1079.756,354.978,1036.960,53.316,1079.245,55.277
13.840,1079.756,354.978,1037.546,53.768,1079.375,55.566
13.880,1079.756,354.978,1037.948,54.050,1080.103,55.997
13.920,1079.440,354.343,1038.885,54.701,1079.657,55.550
13.960,1078.677,353.165,1039.610,55.311,1079.787,55.549
14.000,1078.969,350.842,1039.982,55.571,1079.767,55.499
14.040,1078.800,345.679,1040.570,55.883,1080.191,55.931
14.080,1078.044,343.515,1040.688,55.980,1079.864,55.504
14.120,1077.276,340.744,1040.739,55.756,1080.800,55.914
14.160,1076.961,339.669,1042.187,56.002,1081.083,55.426
14.200,1076.745,338.763,1043.610,56.154,1081.586,55.873
14.240,1076.556,338.182,1046.639,57.943,1082.943,55.200
14.280,1076.152,336.794,1048.225,58.494,1083.251,54.961
14.320,1076.310,333.851,1050.131,59.460,1082.657,55.997
14.360,1076.552,333.336,1052.418,60.828,1083.120,55.886
14.400,1076.483,331.833,1055.051,62.934,1083.526,55.894
14.440,1076.513,329.393,1057.602,63.888,1085.191,55.802
14.480,1076.479,328.305,1060.153,64.841,1086.856,55.710
14.520,1076.427,327.946,1062.704,65.795,1088.521,55.619
14.560,1076.403,327.113,1065.255,66.748,1090.186,55.527
14.600,1076.130,325.496,1067.806,67.702,1091.850,55.435
14.640,1075.983,324.246,1071.850,68.950,1092.052,57.817
14.680,1075.881,323.724,1074.448,70.938,1092.626,58.641
14.720,1077.057,322.911,1078.108,73.141,1093.161,59.913
14.760,1078.280,321.773,1083.649,76.815,1093.434,61.710
14.800,1079.671,319.134,1085.861,78.266,1093.442,62.686
14.840,1079.844,318.419,1087.532,79.336,1093.558,63.319
14.880,1080.236,317.371,1089.203,80.406,1093.674,63.951
14.920,1080.333,316.996,1091.490,82.351,1093.705,64.561
14.960,1080.361,316.917,1091.818,82.595,1096.122,69.608
15.000,1080.775,315.892,nan,nan,1095.270,76.628
15.040,1080.873,315.685,nan,nan,1095.615,77.327
15.080,1080.930,315.432,nan,nan,1095.959,78.026
15.120,1082.356,311.672,nan,nan,1096.217,78.982
15.160,1081.000,311.673,nan,nan,1096.119,80.405
15.200,1079.496,303.179,nan,nan,1096.271,81.327
15.240,1079.843,301.714,nan,nan,1096.199,82.826
15.280,1079.895,301.117,1100.906,97.094,1094.957,85.081
15.320,1079.672,299.381,1097.753,90.992,1099.000,93.000
15.360,1079.934,298.645,1094.600,84.889,1100.401,100.579
15.400,1080.087,297.713,1094.772,85.221,1100.337,101.115
15.440,1079.850,293.765,1094.683,85.809,1100.231,101.862
15.480,1079.753,291.839,1094.847,86.556,1100.211,102.775
15.520,1079.885,287.923,1092.792,84.780,1100.058,103.933
15.560,1079.557,287.080,1092.438,84.698,1099.779,104.442
15.600,1079.569,286.084,1092.075,84.796,1099.589,105.020
15.640,1079.433,284.854,1092.167,85.030,1099.038,106.712
15.680,1079.699,283.866,nan,nan,1098.351,109.591
15.720,1079.724,282.946,nan,nan,1097.488,112.085
15.760,1081.811,280.293,nan,nan,1097.313,112.841
15.800,1083.127,278.935,nan,nan,1097.099,114.624
15.840,1083.939,277.262,nan,nan,1096.869,116.463
15.880,1085.115,275.007,1099.691,105.810,1095.048,127.760
15.920,1086.056,272.811,1099.754,106.614,1094.978,129.335
15.960,1086.759,271.486,1099.056,109.909,1094.889,131.813
16.000,1086.810,271.294,1099.475,110.295,1095.368,134.041
16.040,1086.794,271.170,1101.239,111.427,1096.450,139.007
16.080,1086.907,270.964,1101.229,111.944,1096.036,140.150
16.120,1086.891,271.019,1101.649,113.043,1096.895,142.394
16.160,1087.720,269.552,1102.076,114.042,1097.804,143.268
16.200,1087.835,269.323,1102.238,115.060,1100.270,146.499
16.240,1088.056,268.905,1105.151,121.016,1101.614,148.663
16.280,1088.069,269.000,1105.053,121.121,1103.168,150.753
16.320,1088.183,268.984,1104.867,121.920,1104.401,152.094
16.360,1088.416,268.745,1104.867,121.920,1105.469,153.058
16.400,1088.462,268.667,1104.980,122.442,1106.433,153.981
16.440,1088.945,268.751,1105.212,122.795,1108.460,155.930
16.480,1089.087,268.698,1105.366,123.150,1109.015,156.350
16.520,1089.278,268.716,1105.493,123.981,1109.595,156.881
16.560,1089.347,268.828,1105.541,123.956,1111.997,158.426
16.600,1089.347,268.828,1105.636,124.131,1113.686,160.155
16.640,1089.637,268.575,1105.706,124.289,1114.678,160.646
16.680,1089.637,268.575,1105.795,124.581,1115.994,161.870
16.720,1089.688,268.466,1105.599,125.760,1117.949,163.081
16.760,1090.533,267.221,1104.072,122.149,1119.212,163.835
16.800,1089.681,266.787,1106.023,126.893,1121.652,165.333
16.840,1089.681,266.787,1105.885,127.792,1122.703,164.074
16.880,1089.681,266.787,1106.704,128.601,1125.378,161.640
16.920,1089.745,266.745,1106.968,129.781,1127.174,160.596
16.960,1089.745,266.745,1110.727,131.766,1130.064,158.527
17.000,1089.709,266.380,1111.651,132.664,1133.190,155.973
17.040,1089.662,266.319,1111.955,133.042,1133.929,155.443
17.080,1089.703,266.089,1112.716,133.818,1135.444,154.136
17.120,1089.662,266.268,1112.624,133.767,1136.615,152.794
17.160,1089.714,266.078,1115.734,136.129,1137.575,152.189
17.200,1089.714,266.078,1116.393,136.485,1139.444,150.270
17.240,1089.714,266.078,1117.013,136.993,1140.082,149.409
17.280,1089.735,265.905,1117.302,137.130,1140.570,149.002
17.320,1089.170,266.000,1118.112,137.688,1141.813,147.921
17.360,1088.893,266.153,1118.594,137.981,1142.897,147.209
17.400,1088.844,266.163,1120.014,138.966,1144.047,146.408
17.440,1089.879,265.715,1121.634,139.902,1146.738,144.177
17.480,1090.527,265.484,1122.288,140.312,1149.838,141.386
17.520,1091.942,265.374,1122.931,140.848,1150.288,141.021
17.560,1093.233,265.593,1123.356,141.180,1151.256,140.033
17.600,1093.649,265.684,1126.504,142.822,1152.805,137.078
17.640,1093.724,266.024,1126.830,143.206,1153.904,135.811
17.680,1095.093,267.123,1127.403,143.647,1155.359,134.537
17.720,1097.122,269.023,1127.583,143.855,1156.139,131.718
17.760,1099.722,269.915,1128.060,144.086,1159.975,127.401
17.800,1101.758,269.909,1129.440,142.302,1160.272,127.163
17.840,1102.933,269.802,1131.676,140.161,1160.038,125.135
17.880,1102.809,269.878,1134.870,138.855,1159.871,124.839
17.920,1103.120,270.000,1136.528,138.302,1159.669,125.174
17.960,1102.886,269.974,1138.197,137.529,1159.330,126.711
18.000,1102.869,270.003,1139.373,136.798,1159.447,126.274
18.040,1102.369,271.211,1139.784,136.502,1159.793,122.647
18.080,1103.180,273.839,1140.343,136.128,1159.807,121.249
18.120,1105.106,275.996,1141.384,135.519,1159.829,118.382
18.160,1107.005,277.411,1142.301,134.506,1159.743,117.273
18.200,1109.904,279.023,1142.344,134.002,1160.107,115.987
18.240,1110.513,279.173,1142.765,133.380,1162.041,110.782
18.280,1111.326,279.426,1142.554,132.986,1165.085,107.540
18.320,1113.160,280.858,1142.965,131.579,1167.472,105.032
18.360,1113.540,281.227,1143.039,130.369,1170.543,101.812
18.400,1113.540,281.227,1145.205,126.964,1172.835,99.604
18.440,nan,nan,1145.701,125.869,1173.863,98.512
18.480,nan,nan,1145.649,124.846,1176.102,96.302
18.520,1142.986,130.028,1147.161,120.618,1178.183,94.152
18.560,nan,nan,1146.821,119.189,1179.082,93.108
18.600,nan,nan,1146.741,118.389,1181.246,90.915
18.640,nan,nan,1146.670,118.147,1181.807,90.031
18.680,nan,nan,1146.457,116.802,1184.170,87.791
18.720,1115.000,307.909,1146.662,115.640,1185.108,86.562
18.760,1115.104,309.240,1146.664,114.422,1186.384,84.741
18.800,1115.301,309.959,1146.617,113.784,1187.101,84.159
18.840,1115.124,310.701,1146.954,112.227,1187.177,84.160
18.880,1113.311,313.961,1147.070,110.862,1188.545,82.682
